,text
138,"Date Published:2020-04-02 00:00:00      
The organizations said such measures pose threat to the safety and well-being of the refugees as well as Bangladesh host communities and aid workers Some 50 undersigned organizations have urged the Bangladesh government to lift ongoing mobile internet restrictions and halt the construction of barbed wire fencing around the Rohingya refugee camps in Cox's Bazar in light of the growing Covid-19 pandemic. In an open joint letter to the Bangladesh prime minister, the organizations said such measures pose threat to the safety and well-being of the refugees as well as Bangladesh host communities and aid workers. Posted on Human Rights Watch website on Wednesday, the letter was signed by Amnesty International, Arakan Rohingya National Organisation, Asia Pacific Refugee Rights Network, British Rohingya Community UK, Canadian Burmese Rohingya Organization, Harvard Law School International Human Rights Clinic, among others. The letter said that as the Covid-19 pandemic spreads to Bangladesh, unrestricted access to information via mobile and internet communications is crucial for slowing the transmission of the disease and saving the lives of refugees, humanitarian workers, and the general population of Bangladesh. ""Lifting restrictions will not only enable community health workers to quickly share and receive the most reliable and up-to-date guidance during this evolving pandemic but will also help in coordination with community leaders. We urge you to ensure refugees, local communities, and aid workers alike can freely access mobile and internet communications, in the interest of protecting human rights and public health,"" the letter noted. It also mentioned that since September 2019, Bangladesh authorities have prevented Rohingya refugees from obtaining SIM Cards and directed telecommunications operators to restrict internet coverage in Rohingya refugee camps in Cox's Bazar District.  ""These restrictions should be lifted in light of the government's recommendation to those experiencing Covid-19 symptoms to contact the Institute of Epidemiology, Disease Control and Research, hotline. Without a phone or SIM Card, abiding by this instruction is impossible,"" it added. Furthermore, the signatory organizations mentioned that without access to mobile and internet communications, aid workers and others will be forced to deliver critical health information in person, heightening their risk of exposure to Covid-19 and slowing the effectiveness of the response. Bangladesh government has so far reported 6 deaths and 56 infected by Covid-19.  The fast spreading coronavirus, which was first reported in China's Wuhan, has infected more than 936,100 people and claimed above 47,200 lives across 203 countries and territories and two international conveyances, according to Worldometer. Globally, a total of 194,578 infected people have also recovered from Covid-19, a pandemic announced by the World Health Organization (WHO). Read the full letter here"
139,"Date Published:2019-02-26 00:00:00      
What makes it different from the last DNCC polls is the absence of strong candidates As many as three million voters are set to go to the polls tomorrow to elect a new mayor and councillors for new wards, in the Dhaka North City Corporation (DNCC) by-polls, without any enthusiasm or electioneering in sight. What makes it different from the last DNCC polls is the absence of strong candidates.  This has failed to generate a buzz among voters, not to mention lack of strong opposition candidates. While five candidates will vie for the mayoral position, only ruling Awami League-nominated candidate Atiqul Islam was seen to be electioneering, which ended yesterday.  The other candidates are Shafin Ahmed from Jatiya Party, Anisur Rahman Dewan from National People's Party, Shahin Khan of Progressive Democratic Party, and independent candidate Abdur Rahim. Polling for mayoral elections will be held in 54 wards of DNCC. Also 36 new wards, 18 in DNCC and 18 in Dhaka South City Corporation, are up for elections on the same day. Unlike the mayoral by-polls, vigorous campaigns are being conducted by candidates for councillor posts, as the posts are being contested for the first time. Election materials, including ballot papers, have already reached the offices of the returning officers concerned, as the Election Commission finalizes its preparations for the elections scheduled tomorrow. Arrangements are already in place to send the election materials to the polling centres by today, before voters head to cast their ballots starting 8am tomorrow.  The elections will take place until 4pm without any interval. A public holiday has been announced in DNCC areas so that all voters can exercise their voting rights. Electioneering concluded on Tuesday Returning Officer for the DNCC mayoral polls, Md Abul Kashem, told BSS that no candidate or none in favor of any candidate can conduct any meeting, rally, or procession starting midnight in the DNCC areas, after the electioneering schedule ended on Tuesday.  ""No offices will remain open on that day. But Public academic examinations will be held as per schedule. Students residing in hostels or residences for study purposes will be exempt from the directives concerning leaving election areas"" the RO said. Kashem added that the ban on traffic movement will be relaxed on highways and inter-district roads inside DNCC, considering the issue of public suffering, but vehicular movement on connecting roads will remain banned. Vehicle restrictions According to a home ministry circular, motorcycle transport will be banned in DNCC polling areas from today till Friday 6am.   Meanwhile, all vehicle traffic in the area--excluding emergency services--will be banned for 24 hours starting Wednesday midnight (12am) to Thursday midnight (12am). Vehicles affected by the ban during the by-elections are: motorcycles, trucks, motorized three-wheelers, taxis, microbuses, jeeps, pickups, and cars. Water vessels moving through the area will also fall under the vehicle ban. However, the restriction on vehicle traffic will be loosely implemented on important roads, streets, and highways leading into and out of Dhaka, and at inter-district bus terminals. The circular also directed non residents or voters in the DNCC to leave the area by Tuesday midnight (12am), to ensure a peaceful by-election, and to avoid facing legal action on voting day. Filling a void The DNCC mayoral post fell vacant with the death of Annisul Huq on November 30, 2017. According to the schedule declared by the Election Commission, the by-polls for the DNCC mayoral post were supposed to be held on February 26 last year. But a High Court bench stayed the election for six months after hearing two separate writ petitions on January 14 last year. However, another High Court bench later cleared the way to hold the by-election by withdrawing the stay order."
141,"Date Published:2019-08-27 00:00:00      
Outraged students frustrated by the incident said, they and other locals always celebrated their national days at the school's Shaheed Minar The Ramjanpur Technical Academy school Shaheed Minar was vandalized on Monday night in Kalkini upazila, Madaripur. Outraged students frustrated by the incident said, they and other locals always celebrated their national days at the school's Shaheed Minar. Masud and other students of the school said: ""We want law enforcement to take prompt action."" Headmaster of Ramjanpur Technical Academy Monir Hossain Akon said: ""We couldn't identify the miscreants responsible for the  disgraceful act. We filed a General Diary with the police station."" Kalkini police station OC Md Mofazzel Hossain confirmed the incident and said: ""All necessary action will be taken after the investigation."" "
145,"Date Published:2020-01-07 00:00:00      
Bangladesh maintains friendship with all, he says Foreign Minister Dr AK Abdul Momen has said Bangladesh wants to see peace and stability across the world noting that around 12.2 million Bangladeshi citizens live in various parts of the globe. Momen was talking to reporters at International Mother Language Institute after a meeting of sub-committee of celebration of the birth centenary of Father of the Nation Bangabandhu Sheikh Mujibur Rahman on Tuesday, reports UNB. Chief coordinator of the Father of the Nation Bangabandhu Sheikh Mujibur Rahman Birth Centenary Celebration National Implementation Committee Dr Kamal Abdul Naser Chowdhury and former foreign minister AH Mahmood Ali were present at the meeting, among others. The minister said Bangladesh has adopted a ""balanced policy"" without any deviation from the path shown by father of the Nation - ""friendship to all and malice towards none"". ""We have good relations with everybody,"" he told reporters mentioning countries like India, China and the USA.   When asked about escalating tensions between Iran and the USA and any possibility of third world war, the foreign minister said: ""Hope not, I do not think there will be a third world war.""  Momen hoped that Bangladesh nationals in Iraq will remain safe since there are some targeted attacks. In this globalized world, he said peace and stability are must and there will be negative impacts if the peace and stability are hampered in any part of the world. He said they are in touch with Bangladesh Mission in Iraq and Bangladeshis so far remain safe. Earlier, Bangladesh Ambassador in Baghdad Abu Maksud M Forhad assured Bangladesh nationals living in Iraq of providing all sorts of support and urged them not to get worried and lose their mental strength. In a video message, he said Prime Minister Sheikh Hasina is in touch and enquiring about their condition round the clock. He said they will remain available round the clock for any support that may be required. The video message was issued for Bangladesh nationals amid escalating tensions between Washington and Tehran following the killing of Iranian general Qasem Soleimani near Baghdad airport on January 3. Over 200,000 Bangladesh nationals are believed to be living in Iraq. On Friday, the Bangladesh Embassy in Baghdad requested Bangladeshi expatriates in Iraq to stay alert and maintain caution considering the current security situation in the Middle-Eastern country. The embassy will remain open 24/7 to extend consular services to the expatriates. Everyone has been requested to extend cooperation. Between 2009 and November last year, 75,748 Bangladeshis went to Iraq for work, according to the Bureau of Manpower, Employment and Training."
149,"Date Published:2020-03-01 00:00:00      
Amid ongoing turmoil over the Citizenship Amendment Act (CAA) across India, the statement has created quite a stir India's Hindu nationalist Prime Minister Narendra Modi has no citizenship documents, Modi's office said in reply to a query on Friday, reports Anandabazar. Subhankar Sarkar, an Indian citizen, asked if the prime minister possessed citizenship documents under Right to Information Act, on February 17. In response to his question, Under Secretary of the Indian Prime Minister's Office, Praveen Kumar wrote: ""Prime Minister Shri Narendra Modi is a citizen of India by birth in terms of Section 3 of the Citizenship Act, 1955 and as such the question of his having a citizenship certificate which is for citizenship by registration does not arise.""  Amid ongoing turmoil over the Citizenship Amendment Act (CAA) across India, the statement has created quite a stir. Ever since the right wing Bharatiya Janata Party (BJP) led government passed the CAA, protests against the controversial citizenship law have continued across India, with every citizen worrying over how to prove citizenship. Even Modi fails to show the citizenship certificate.  At least 42 people were killed in Hindu-Muslim violence in northeast New Delhi, amid mounting international criticism that authorities failed to protect minority Muslims. The clashes began over a citizenship law that Modi's Hindu nationalist government introduced in December providing a path to Indian citizenship for six religious groups from neighbouring countries - but not Muslims. Critics say the law is discriminatory and comes on top of other measures such as withdrawal of autonomy for Muslim-majority Jammu and Kashmir, that has deepened disquiet about the future of India's 200 million Muslims. Critics of the government however blamed this week's violence on members of Modi's BJP, which was trounced in local Delhi elections at the beginning of the month.  The violence morphed into street battles between Hindu and Muslim groups, with the police largely ineffective in ending the violence."
150,"Date Published:2019-02-27 00:00:00      
The Leader of the House also said her government is considering implementing  similar projects in Chittagong also Prime Minister Sheikh Hasina on Wednesday said her government will introduce digital traffic systems to ease traffic jam in the capital. ""We want to control traffic in Dhaka city digitally...some parts of the capital have already been brought under such a system and if the system is introduced in other parts, the sufferings of the people will be reduced to a great extent,"" she said. The prime minister said this in replying to a supplementary raised by Jatiya Party lawmaker Kazi Feroz Rashid in the House during a question-answer session with Speaker Dr Shirin Sharmin Chaudhury. The Leader of the House said her government has reintroduced an automatic signalling system in the capital which had almost gone out of order previously. She said traffic could be controlled manually in some areas, but there are allegations that manual traffic control is ineffective.    Sheikh Hasina said the biggest problem is that city commuters do not follow traffic rules. Referring to the notorious traffic jams in London and Washington, the Leader of the House said traffic jams are now a worldwide problem. She said people are buying more cars as the population's financial solvency is on the rise. In reply to a question from treasury bench member Didarul Alam, the premier said a number of projects were executed in the last 10 years through various ministries and departments, while many schemes are being implemented to ease traffic jams in the capital. If the schemes are implemented, she said, it is expected that Dhaka city will be free from traffic jams very soon. The Leader of the House also said her government is considering implementing projects similar to Dhaka, in Chittagong also, to reduce traffic jams in the port city."
153,"Date Published:2020-02-15 00:00:00      
Primarily, 500 consumers of two char areas - Charatra, Nawapara unions - now have access to electricity The inhabitants of char areas in Shariatpur district have received electricity connections through sub marine cables, drawn under the Padma River. Deputy Minister for Water Resources AKM Enamul Hoque Shamim inaugurated the power supply under a project in a program at Aziz High School and College premises of Naria upazila in the district on Saturday , a correspondent reports. Primarily, 500 consumers of two char areas - Charatra, Nawapara unions - now have access to electricity. A man working on a electricity poll | Dhaka TribuneThe project aims to provide electricity to different remote areas of Shariatpur, Chandpur and Munshiganj districts, the project cost of which is estimated to be Tk95 crore. Munshiganj Rural Electrification Board (REB) is working on the project . According to the Munshiganj REB, a 1km sub marine cable has been set up from Munshiganj to Naria upazila of Shariatpur district, beneath the Padma River to provide at least 20,000 consumers with electricity."
155,"Date Published:2019-07-10 00:00:00      
Two fishermen rescued alive A fishing boat with six dead fishermen has washed up ashore at Seagull point of Cox's Bazar sea beach. Two fishermen were also rescued alive from the vessel. ""We were informed that a fishing boat has washed up ashore after capsizing on early hours of Wednesday. A Tourist Police team went to the scene immediately and began a rescue operation. Six dead bodies were recovered and two persons were rescued alive from the boat,"" Tourist Police Cox's Bazar Superintendent Zillur Rahman said while confirming the incident on Wednesday morning. He also said the dead bodies were recovered in a decomposed state and had no marks of injuries. ""We believe that the boat and the fishermen had drifted into Bangladesh territory from Myanmar. As there is currently a fishing ban on our territorial waters and Signal 5 was hoisted at maritime ports for the last five days, it can be assumed that the boat did not capsize in our waters,"" he added. The dead bodies have been sent to Cox's Bazar Sadar Hospital for autopsy.  ""The two rescued alive are receiving treatment at Cox's Bazar Sadar Hospital. We are working to get more details regarding the incident,"" Cox's Bazar Sadar Model Police Station Officer-in-Charge (OC) Md Farid Uddin Khandaker told Dhaka Tribune.  "
156,"Fast of Ramadan Ends With Feasts
1989-05-03T05:00:00.000Z
Fast of Ramadan Is Soon to Be a Feast
TOMORROW evening Muslims will search the night sky for the new moon. If they see the first sliver of light or hear of its official sighting in Mecca, they will end their monthlong fast at daybreak and eat heartily in celebration.
Since April 6, the beginning of Ramadan, the holiest month of the Muslim calendar, millions of devout Muslims around the world have abstained from all foods and liquids from the first light of morning to sundown.
The morning after the new moon reappears - either Friday or Saturday - Muslims will begin the month of Shawwal and celebrate the id al-fitr, or festival of fast breaking. It is a day of thanksgiving, when they will dress up, exchange gifts, visit friends and eat.
In the observance of the fast, Ramadan is like the Jewish holy day of Yom Kippur and the Christian period of Lent. Muslims believe that God revealed the Koran to Mohammed during this month in the seventh century.
Ramadan is more than a time of fasting. It is a time of restraint and reflection, of prayer and peace. It is a time of kindness and charity, of family and community.
It is also a time when food takes on a greater significance. ''That which we deny ourselves is more appreciated,'' said Ahmed Almontaser, a Muslim who owns the Moroccan Star Restaurant in downtown Brooklyn.
As the sun sets each evening during Ramadan, Muslims often join to break their fast with dates and water, as the prophet Mohammed is said to have done. Then facing Mecca and bowing on their knees with their heads to the ground, they make their sunset prayer.
Afterward they have the iftar, or evening breakfast. The foods are simple and hearty: soups and stews made from lamb, chicken or beef to keep up strength during the fast.
On a recent Sunday about 400 Muslims - with backgrounds as diverse as Afghan, Egyptian, African-American, Palestinian, Pakistani, Spanish and Bangladeshi - gathered in Brooklyn for a community iftar at Masjid Al Farouq, a mosque on Atlantic Avenue between Fourth and Fifth Streets. They represented 17 Islamic centers in the New York region. Sneakers, work boots and oxfords were strewn in piles in the hallways, because Muslims must remove their footwear upon entering a mosque.
The men - some in business suits, others in loose tunics - covered their heads with turbans and woven caps. They prayed and broke their fast upstairs. The women, wearing ankle-length cloaks and scarfs concealing their hair, prayed and ate downstairs.
Shortly after a meal of lamb stew and Egyptian bread, they said their nighttime prayer, followed by a special prayer for forgiveness said only during Ramadan. Then they went home to sleep, where by custom they would rouse themselves at 3:30 or 4 A.M. to eat a light snack of fruit or yogurt, or even bagels and lox, to tide them over for more than 16 hours of fasting.
For Osama Younis, an Egyptian-born orthodontist, his wife, Mona, and their three children, each day of Ramadan begins with the predawn breakfast and a visit to their mosque in Mount Vernon, N.Y., for early prayers. Afterward, they return home to read a chapter of the Koran and then slip back into their beds for an hour's nap before beginning the workday or school day.
''It is not difficult,'' Dr. Younis said. ''Allah gives us strength.''
Fasting during Ramadan is required of all adult Muslims, and children are encouraged to fast as much as they can. Pregnant women or those who are sick or engaged in hard labor may postpone their fast, fulfilling it when it is less a hardship.
''Non-Muslims always ask why do we stay hungry all day,'' said Abdul-Salam Hamid, who came to New York from Pakistan 20 years ago. ''Half of the world is hungry. Many are dying of hunger. In this way we can feel their pain, understand their suffering and become more compassionate, more giving. Allah wants us to recognize this, to do good deeds and to learn how to control our temptations.''
Mr. Hamid, who owns Shaheem Sweets, a bakery and restaurant chain with four stores in Queens, Manhattan and Brooklyn, admitted that he sometimes absent-mindedly took a taste of his pastry. But according to Muslim law, an unintentional bite does not break the fast.
During the last days of Ramadan, Muslims often sleep in the mosque, making intensive devotions. They await the Night of Power, which commemorates the first revelation of the Koran and a time when the faithful believe God will answer all prayers. Before feasting this week, each family must give food or money to help feed the poor.
There are more than five million Muslims in the United States, according to the Federation of Islamic Associations in Detroit. Because Islam brings together a multitude of traditions and cultures, there is no distinctive Islamic cuisine; there are no symbolic foods, except dates, that all Muslims eat in breaking their fast.
''While Muslims who are from the Middle East eat baba gannouj - mashed eggplant in sesame butter - and falafel, we'll have fried chicken and potato salad,'' said Njeri Abdul-Mumit, an American-born Muslim who lives in the Bedford-Stuyvesant section of Brooklyn.
But there are some similarities among the foods that many Muslims eat. Alcohol and pork are forbidden. All meat must be halal (that is, from animals ritually slaughtered). Dried fruits are very common, and sweets of all types are savored.
Muslims of Pakistani and Indian descent often make a special sweet pudding called sevian to begin their feast and to give to friends. Middle Easterners favor honey and nut-filled pastries like baklava and kinafa.
Sweets symbolize the joy Muslims feel after receiving God's blessings during Ramadan, Mr. Hamid said. And for him, the festival of fast breaking is a double celebration: ''It is my bakeries' busiest day.'' A Time to Give Thanks and Eat Lahem Mashwe (Lamb stew) Preparation time: 8 minutes Cooking time: 45 minutes 3 tablespoons vegetable oil 3 pounds lamb shank or leg, cut into 2-inch cubes with bones 1/2 pound onions, diced 6 ounces tomato paste 4 cups hot water 4 medium-size potatoes, quartered 3 medium-size zucchinis, sliced 4 medium-size carrots, sliced 4 ribs celery, diced 1 teaspoon cumin seeds 1 teaspoon fresh chopped coriander 1 teaspoon freshly ground black pepper 1/2 teaspoon salt 1/2 teaspoon garlic powder.
1.In a saucepan, heat oil. Brown lamb on all sides. Add onions and continue to cook, stirring frequently until onions are wilted.
2.Add tomato paste and continue to cook, stirring frequently, for 3 minutes.
3.Add the hot water, vegetables and spices.
4.Partly cover and simmer half an hour.
Yield: 6 to 8 servings. Sevian (Sweet pudding) Preparation time: 2 minutes Cooking time: 15 minutes, plus 1 hour for refrigeration 1 quart milk 3/4 pounds sevian (vermicelli-like noodles available in most Indian food stores) 1 1/2 cups sugar 3 dates, diced 1/4 cup sliced almonds 3/4 cup raisins 2 tablespoons shelled pistachios.
1.In a saucepan, bring milk to a boil
2.Add sevian and reduce heat to low. Cook 3 minutes, stirring frequently.
3.Add remaining ingredients. Continue to cook 5 minutes, stirring frequently.
4.Spoon mixture into a large bowl or baking dish. Cover and refrigerate for an hour.
Yield: 6 servings. Yogurt Appetizer Preparation time: 2 minutes, plus 3 hours for refrigeration 1 pound plain, thick unpasteurized yogurt, made from sheep's or goat's milk (available at most health-food stores) 1 teaspoon ground cumin 1 teaspoon ground coriander 1 teaspoon fresh mint, chopped Salt and pepper to taste 6 pitas.
1.Mix all ingredients and chill 3 to 4 hours.
2.Fill pockets of pitas and serve.
Yield: 6 servings."
162,"Date Published:2020-01-16 00:00:00      
They defaulted Tk140cr in loans from three banks An arrest warrant has been issued against former textiles and jute minister Abdul Latif Siddique's wife Laila Siddque, son Anik Siddiqui and daughter Raina Farzin for defaulting on Tk140 crore in loans from three banks. A Dhaka court on December 2, 2019 issued the warrant against them in a case filed by Arab Bangladesh (AB) Bank. Following the court order, police on Wednesday conducted a drive at their residence in Gulshan 1 in the capital. Gulshan police station officer-in-charge (OC) MdKamruzzaman said they were trying to arrest them. According to banking sources, Latif Siddique's family members formed two companies - Dhaleshwari Limited and Majestica Holdings Ltd -- for printing press and real estate business. Laila Siddque, wife of Latif Siddique, is the chairman of the two companies, Anik Siddiqui, their son, is the managing director of those companies while Raina Farzin, their daughter, is the director of those companies, as per the sources. They took Tk55.62 crore from AB Bank, Tk56 crore from state-owned Janata Bank and Tk31 crore from Padma Bank. Majestica Holdings Ltd is among the top 300 defaulters' list, which was disclosed in parliament last year. Latif Siddique, the former MP from Tangail-4 seat, was in charge of the textiles and jute ministry in the Awami League's 2009-13 term. Dhaka Tribune reporter was trying to reach Anik Siddiqui over phone but he did not receive the phone. Talking to Dhaka Tribune, Tarique Afzal managing director of AB Bank, said: ""Now we are strict against all defaulters."""
163,"BOOK NOTES
1989-01-04T05:00:00.000Z
Stalin With Warts
A book published in 1987 by the Johns Hopkins University Press is scheduled to become the first book on Stalin by a Western historian to be published in the Soviet Union. Moreover, the Soviets have promised to allow the author to read and approve the translation before its publication this year.
The book is ''Stalin in October: The Man Who Missed the Revolution,'' by Robert M. Slusser, a professor of history emeritus at Michigan State University. It describes Stalin's return from Siberian exile to Petrograd in March 1917 and his editorship of the party publication Pravda during the months leading up to the Bolshevik Revolution the following November. Professor Slusser writes that on the night of the revolution, Stalin stayed in the offices of Pravda rather than taking to the streets to join in the storming of the Winter Palace. Later, of course, Stalin had the history of the revolution rewritten in favor of a more laudatory version of his activities.
J. G. Goellner, director of the Johns Hopkins University Press, said Progress Publishers, the Soviet publishing house, was reluctant to buy Mr. Slusser's biography in 1987, because it did not think it could get clearance for the project. But after the policies of Mikhail S. Gorbachev encouraged more openness, Aleksandr Avelichev, the head of the publishing house, sent Johns Hopkins an offer. That contract was eventually signed in Boston.
During the Frankfurt Book Fair last October, Mr. Avelichev asked to renegotiate the contract to increase the print run to as many as 200,000 copies. Mr. Goellner said that when he expressed surprise at so large an order, Mr. Avelichev replied: ''I don't think you understand what a big event this is going to be. We have nothing on Stalin in this country except what Stalin wanted written. This will open the door through which our own historians can now walk.'' Titles That Scan
Alex Shoumatoff has written eight books of nonfiction, ranging from his search for his Russian roots to accounts of his travels in many lands. His most recent book, ''African Madness'' (Knopf), consists of four articles, revised from their original appearances in The New Yorker and Vanity Fair, on Madagascar, Dian Fossey, AIDS in Africa and the trial of Jean-Bedel Bokassa, the former ruler of the Central African Republic.
While writing, Mr. Shoumatoff uses working titles that are often vastly different from the published titles, although he stayed with ''African Madness'' for this book.
''It came to me as a sound more than as a meaning, although I thought there was enough meaning for a good title,'' Mr. Shoumatoff said. ''But from its cadence, you know it's probably by the same guy who wrote 'Russian Blood,' 'Florida Ramble' and 'The Rivers Amazon,' '' three of his previous books.
The working title for ''Russian Blood,'' Mr. Shoumatoff said, was -what else? - ''Rootski.'' For ''Westchester: Portrait of a County,'' he used ''Beyond the Bronx.'' And his book on the Amazon, published by Sierra Club Books, was ''The Big Amazon.'' When his editor suggested ''The Rivers Amazon,'' Mr. Shoumatoff was dubious. He said, ''I thought, sure, by the man who brought you 'The Brothers Karamazov.' ''
Yet even the most carefully considered titles are not always as distinctive as authors might like. Shortly after publication in 1986 of his book ''In Southern Light,'' based on his travels in Zaire and along the Amazon, Mr. Shoumatoff asked at a store in Manhattan whether it carried the book. The clerk said yes, and directed him to ''Southern Light,'' a fictional interpretation of the story of Genesis by J. R. Salamanca. When Mr. Shoumatoff tried again, he was directed to the travel section. ''I thought, that's more like it,'' he said, ''until I saw 'South Light,' by Michael Parfit, a book about the Antarctic.''
''One of these days,'' Mr. Shoumatoff said, ''I'm going to invite those other two authors for a drink at the Algonquin and propose that we publish all three books in one bound edition.'' Profits to the Poor
Dominique Lapierre's book ''The City of Joy'' (Doubleday) is about the impoverished people of Calcutta, India, to whom the author promised 50 percent of the royalties. Since its publication three years ago, the book has sold about five million copies worldwide and Mr. Lapierre said it had earned the poor about $1 million - along with much more from the donations that accompanied many of the 70,000 letters from readers.
That money, Mr. Lapierre says, has been used to finance a number of projects in whole or in part: a home, schools and a training center for 150 children of lepers; three rehabilitation centers for lepers; three homes for 125 physically and mentally handicapped children from the slums; a medical dispensary in Bhangar, an area south of Calcutta in which as many as 700 patients are treated each day; a mobile medical dispensary in a remote area of the Ganges delta, and a home and school for 75 orphan children from an area near Bangladesh.
Mr. Lapierre and his wife, who also donated solar energy water pumps to 10 drought-afflicted villages in India, were recently made honorary citizens of Calcutta."
166,"Date Published:2020-03-31 00:00:00      
Habiganj workers demand govt food relief from starvation Workers at 23 tea gardens in Sylhet have been abstaining from work due to the fear of coronavirus transmission for the last five days. Hundreds, among the 10,000 permanent workers and 50,000 temporary workers, demonstrated with a sit-in protest on Tuesday at their respective tea fields, demanding protective gear for work, said Raju Goala, president of Bangladesh Tea Workers' Union in Sylhet. Answering a query, he told Dhaka Tribune that the workers are prepared to work as per the premier's directives if Personal Protective Equipment (PPE) is provided to them with their salary for the last five days, when they abstained from work. He added that they will go for a large movement if the demands are not fulfilled. Sylhet Additional Deputy Commissioner (ADC) Abul Kalam Azad said Tk12 lakh and 521 tons of rice have so far been allocated for marginal communities in the district to fight the coronavirus crisis so far. However, the allocated resources were not for the district's tea workers. ""Over video conference on Tuesday, the premier instructed to keep all tea gardens of the country operational,"" added the ADC. The tea worker's leader Raju Goala, said: ""People in other occupations in the country are in quarantine, but there were no clear guidelines for tea workers. To avoid risk of virus transmission, workers are abstaining from work. ""Although poor people in the district are receiving government support, none is allocated for tea workers.  ""Most of the workers are hired on a temporary basis. They routinely work at places other than the gardens. They could not work at these other places due to the virus outbreak and the authorities do not have any specific guidelines regarding how workers will not starve, but yet be safe,"" added Raju. In Habiganj, hundreds of tea workers demonstrated in Chunarughat upazila demanding government relief.  During a three hour protest in front of the upazila parishad until 12pm yesterday, they chanted 'Du Mutho Bhat De (give us two fistfuls of rice) as a slogan. Tea worker Koilash Munda said: ""We will die of starvation before catching coronavirus. No one has come to our aid so far."" Nipen Paul, joint secretary of Bangladesh Tea Workers' Union central committee, said: ""Tea workers were not given leave. We asked workers of some of the gardens to abstain from work. We couldn't arrange government allocations for workers by contacting the upazila administrations. I have heard that workers protested for food in Habiganj."" Debashish Das, manager of Deundi Tea Garden in the upazila, said: ""We haven't received any instruction from the authorities to allow leave for the tea workers and we haven't put pressure on them to come to work either."" He added that no worker from his tea garden received any government relief. Chunarughat Upazila Nirbahi Officer Shattyajit Roy couldn't be reached for comment over phone."
