,text
137,"Date Published:2019-10-02 00:00:00      
Following approval from the Executive Committee of the National Economic Council (Ecnec), Dhaka Wasa had initiated two projects to tackle the issue and improve the water logging situation The water logging situation in the capital has not changed over the years, even after promises from Dhaka Wasa about implementing a master-plan and commitment of the government to find a solution to this problem. People of the city were reminded of the unfulfilled pledges yesterday, after a downpour left numerous areas waterlogged and led to major gridlock on the streets until well after evening. Following approval from the Executive Committee of the National Economic Council (Ecnec), Dhaka Wasa had initiated two projects to tackle the issue and improve the water logging situation. But their progress is very slow to make any significant headway. On June 28, 2018, Khandaker Mosharraf Hossain, then LGRD minister, had blamed development projects around the city for its water logging problem. He had also expressed hope that the problem would end by 2019 -- which has not happened. As a result, the perennial waterlogging scenario in Dhaka is still unchanged. The Bangladesh Meteorological Department (BMD) recorded 46mm rainfall in the city between 12pm and 6pm yesterday. Just within half-an-hour of thundershowers a little after 12pm, citizens were seen posting on social media videos of waterlogging in a number of areas. Dhaka Tribune correspondents during visits also found many streets and areas inundated. The areas that suffered most include Mirpur's Rokeya Sarani and Kazipara, Jahangir Gate, Green Road, parts of Indira Road, Tejgaon, Panthapath, Shukrabad, Kalabagan, Dhanmondi, Jhigatala, Shankar, Jatrabari, Bashundhara Residential Area, Motijheel, Gulistan, Paltan, Bijoynagar, Fakirapool, Karwan Bazar, Arambagh, some areas in Mohakhali and Gulshan, and many places of Old Dhaka. Talking to Dhaka Tribune, many said waterlogging was still occurring as the drains that are supposed to take the rainwater out are clogged with garbage. At the same time, heavy gridlock on major roads, which were inundated, made it extremely difficult for city dwellers to commute. Sufferings Many people were seen wading through the water to reach their destinations. Sarjin Sharif, a resident of Shankar area, told Dhaka Tribune: ""The road in front of my house is completely submerged. ""I need to go to work, but I cannot even get out of the house to find a vehicle."" Dhanmondi's Road No 27 also went under knee-deep water very quickly, leaving many including students suffering amid heavy rain. Nafisa Nazmul, a former student of Brac University, said: ""I cannot find transport to go to Panthapath from Mirpur 10. The roads are completely underwater."" East Jurain resident Awenim Rahman also told Dhaka Tribune that the main streets in his area were fine, as they were rebuilt and their heights increased recently. ""But the branch lanes, which are still low-lying, are completely inundated."" He said he also faced horrible traffic jam on his way to the office later in the afternoon. ""I found all the roads leading from Gulistan to Paltan, Shahbagh, Kakrail, Dainik Bangla, and Farmgate via Banglamotor and Karwan Bazar absolutely gridlocked,"" Awenim said expressing frustration. Independent University Bangladesh faculty member Kazi Mubinul Hasan said: ""I live in the Bashundhara Residential area. On a usual day, it takes me less than an hour to reach Shukrabad. But today [Tuesday], it took me nearly two hours."" Nilkhet and New Market areas, Elephant Road and Mirpur Road also saw major gridlock after the rain stopped a little after 3pm. The rain even left the roads leading from the main entrances to archways in the Bangladesh Secretariat, adjacent to Zero Point in Gulistan, under knee-deep water for at least three hours. Officers and outsiders both suffered while going from one building to another. Many were even seen entering the offices barefoot. Those turning up at the secretariat without cars were among the worst sufferers. Many said the secretariat had seen a similar problem on Sunday. More rains incoming BMD Meteorologist AKM Ruhul Quddus told Dhaka Tribune that they recorded 45.3mm of rainfall in the capital between noon and 3pm yesterday. Between 12pm and 6pm, a total of 46mm rainfall was recorded. Meanwhile, BMD also recorded the highest rainfall in Sylhet - 120mm. According to a Met Office weather bulletin, light to moderate rain or thundershowers accompanied by temporary gusty wind over the country was likely again in the next 24 hours as of 9am today. ""There is a chance of light rain on Wednesday in Dhaka, Khulna and Chittagong regions, and in the rest of the country it will rainless,"" said Ruhul. The bulletin added that light to moderate rain or thundershowers accompanied by temporary gusty wind is likely to occur at most places in Dhaka, Mymensingh, Chittagong and Sylhet divisions, many places in Khulna and Barisal divisions, and a few places in Rangpur and Rajshahi divisions during the time. Moreover, it said, some places in Barisal, Chittagong, Mymensingh and Sylhet divisions may see moderately heavy to very heavy falls until this morning. Slow progress of master-plan Aiming to fix the perennial problem, the Ecnec last year had approved two projects -- ""Expansion of Drainage Networks and Development of Canals Project in Dhaka City"" and ""Land acquisition, excavation and re-excavation of Hazaribagh, Baishteki, Kurmitola, Manda and Begunbari canals."" But both, being implemented by Dhaka Wasa are advancing at a snail's pace. One of the projects has registered only 8.25% progress in the past one year, while the other just 1.5% over the span of 14 months. Regarding the extremely sluggish progress, urban development expert Prof Nazrul Islam said such projects, after being passed, advance slowly due to many issues. ""But in course of time, their progress gained pace. But these two projects seem to be progressing very slowly. Only the authorities implementing them can explain why,"" he said. Dhaka Wasa Managing Director Taqsem A Khan was unavailable for comment over phone. However, engineer Nuruzzaman, former member of Dhaka Wasa Board, told Dhaka Tribune: ""Wasa is trying to solve the waterlogging issue by implementing some projects. It is visible that once areas used to remain waterlogged for five to six hours, but this year the water cleared from roads in two to three hours. It is a significant improvement."""
151,"Date Published:2020-04-07 00:00:00      
Over a lakh people living in the upazilas fear that if an erosion occurs again in the locality, it will be difficult for them to settle and earn their livelihood Thousands of people in Shariatpur are living in constant fear of an upcoming erosion even as they struggle to cope with the ongoing lockdown in light of the deadly Covid-19 outbreak that challenges their livelihood. The flood control embankment construction project on the Padma river, flowing through Naria and Zajira upazilas of the district, has come to a halt with the recent outbreak of the Covid-19 pandemic that has led to a nationwide lockdown. Over a lakh people living in the upazilas fear that if an erosion occurs again in the locality --which is highly likely as it happens every year-- it will be difficult for them to settle and earn their livelihood. The poverty-stricken locality had hardly any respite from the damage caused by the last erosion and yet there is now a threat of another. Over six thousand people --who lost their homestead and belongings in the last erosion-- settling in on others' land either through pity or rent are in a huge crisis. Roksana Begum, a resident of Naria upazila, lost everything to the river last year and now, when she and her husband both are jobless, the pandemic is making each day of their lives harder as the days go by. She said: ""We made a shed on a neighbour's land temporarily. We were hoping to get back to our normal life after the flood control embankment project was completed. But now erosion is coming towards us in one way and coronavirus has come in another. ""We have no money or anyone to help us. Either we will die of the disease or of poverty. It does not make much difference to us,"" Roksana added in sheer despair. Thousands of working class people, who lost everything in the regular erosion in the area like Roksana are facing the same difficulties. They are without work, income, food and scope for treatment.  Despite government-allocated ration goods, said another resident of the area seeking anonymity, people have been sleeping on hungry stomachs as they are not getting help or it would be correct to say that their goods are being looted by local representatives and political activists.  Mohadeb Das, a kitchen shopkeeper of Hindupara, said he used to own a large store. However, after the river devoured it, he was managing well with his single-shed kitchen shop by the riverside.  He said: ""I was waiting to see the embankment project completed. But now no one comes to my shop because of the disease and the river is closing in every day to consume my shop, my only means of livelihood again."" Rashida Begum, who rented her neighbour's house after losing her home in the erosion, said: ""We were well off, with our daily jobs and income. It was not much but enough for a couple like us. ""But due to the coronavirus, we lost our jobs and did not have any help or rations from the authority. We do not know what will we do,"" said Rashida, who has been suffering from acute poverty due to the outbreak of the pandemic. Denying the allegations, Kazi Abu Taher, Deputy Commissioner of Shariatpur, told Dhaka Tribune that there was not a single house in his locality which had not been given proper help and not a single person was there who was hungry or had been deprived of rations. According to Bangladesh Water Development Board (BWDB), the flood control embankment project, stretching for 8.9 kilometres, was initiated in 2018 and was expected to be completed in 2021 at a cost of Tk1,097 crore. However, 33% of work remaining for the project has now come to a halt as workers have left for their homes with the outbreak of the pandemic. Stating that the project would be completed in due time, BWDB Executive Engineer Ahsan Habib said: ""The project is still ongoing in fractionally. Even if it gets halted overall, we will speed up the construction work later to complete it in due time."""
165,"CYCLONE BATTERS BANGLADESH COAST
1988-12-01T05:00:00.000Z
A cyclone battered coastal areas of Bangladesh and eastern India late Tuesday, killing at least 300 people and leaving a trail of devastation, officials and news reports said today.
Officials said the death toll was likely to rise dramatically as recovery efforts progressed and communications in the affected areas were fully restored.
Officials told the United News of India that more than 870 people, including 500 fishermen, had been killed. Other Bangladeshi officials said they feared the death toll would be in the thousands. Hundreds of thousands of people were reportedly left homeless and millions of tons of crops were said to have been destroyed. Winds to 120 Miles Per Hour
The cyclone struck Bangladesh, one of the world's poorest countries, as it was continuing its recovery from the worst flooding in its history; the flooding in August and September covered three-fourths of the country and caused damages now estimated at more than $1 billion.
The storm, with winds of 60 to 120 miles per hour, whipped 10-foot-high tidal waves as it swept across the Bay of Bengal and through the southern and southeastern districts of Khulna, Satkhira, Bagerhat, Byrguna, Barisal, Patuakhali, Bhola, Chittagong and the town of Cox's Bazar. Electrical power and communications in those areas were cut off.
At least 275 fishermen were reported missing, and officials said they expected many more deaths as reports come in from the hundreds of tiny islands in the Bay of Bengal.
A relief ministry official said that about 80 percent of the crops and mud and thatch homes in the two hardest-hit districts, Khulna and Satkhira, had been destroyed. Warnings Were Broadcast
But he said that human casualties had been minimized by an efficient early warning system that helped people evacuate vulnerable areas. This official predicted the final death toll would be no more than ''a few thousand.''
Given the record of previous cyclones in Bangladesh - the most recent in 1985, which killed an estimated 10,000 people - that prediction seemed to a remarkably low figure. More than 300,000 people died in 1970 in the worst cyclone in Bangladesh's history."
186,"Date Published:2020-01-02 00:00:00      
 Pabna farmers are cultivating more land for the second season of onion eyeing the high price of the spice in the market, forgetting the loss they had suffered from their flood-hit crops in the September-October season. Deputy Director Md Azhar Ali of Pabna Department of Agriculture Extension (DAE) told The Daily Star, ""In the last season, farmers cultivated 44,000 hectares of land and produced 6.5 lakh metric tons of onions. This season, we have targeted to cultivate 49,800-hectare for producing 7.5 lakh metric tons of onions."" If the weather remains dry and favourable, then this season's target will be the highest ever production in Pabna, according to officials of DAE. Deputy director Azhar informed that the total yearly demand for onion in the country is 24 lakh metric tons, and the nine upazilas of Pabna usually supplies 25 percent of it. Next year, they are hoping to supply 33 percent of the total demand of onion, he added. The deputy director noted that farmers, who could save their crop from flood during the last season, earned a lofty profit from the Mulkata variety selling it at the high market price. This motivated the other farmers to increase their cultivation for the current season. Since mid-September price of onion kept on rising from Tk 40/kg to the record high of Tk 250/kg, becoming somewhat steadier in the last two weeks selling between Tk 50 to Tk 100 per kg, as quoted on the website of the Trading Corporation of Bangladesh. Sources at the DAE explained that Mulkata sown during September-October is harvested around December while the current variety sown now will be ready for harvest by March. This correspondent visited Santhia and Sujanagar upazilas, where most of the onions in the district are grown. An onion farmer of Sujanagar upazila Md Ishhaque Ali said, ""In last season, I cultivated 66 decimals of land but I did not get expected profit as most of the crop was damaged in sudden flood this year. I managed to save 20 mounds of onion and sold those for Tk 60,000. The handsome price of onion inspired me to cultivate again in more areas this season."" Ishaque is cultivating onions on 165 decimals of land by leasing 99 decimals, expecting to earn Tk five lakh to Tk six lakh from sale of the crop, he said. He, however, is concerned about winter rain damaging his crop again. ""If it rains during winter, we may face loss again,"" he said. Forgetting the loss that he had incurred in the last season, retired college teacher Dulal Hossain of Narinda village in Santhia upazila cultivated five bigha of land for onion expecting to earn Tk five lakh. He, too, is worried about the weather.  ""The recent dense fog disrupts onion cultivation. At the same time, we are worried about rain during winter,"" Dulal said. Farmers also urged the government to stop importing onions during harvesting time, so that they can get expected profit."
191,"Date Published:2020-05-21 00:00:00      
More than 500 fish enclosures were submerged, locals said, and they fear an untimely flood through the damaged embankments due to the high tidal waves A large portion of the Bangladesh Water Development Board (BWDB) embankment of 35/1 polder in Sharankhola upazila of the district has been collapsed after being hit by the extremely severe cyclonic storm Amphan. Acres of low-lying areas of several villages, fish enclosures, and streets became waterlogged as the flood embankments were destroyed by the storm on Wednesday night, said Sharankhola UNO Sarder Mostafa Shahin.  More than 500 fish enclosures were submerged, locals said, and they fear an untimely flood through the damaged embankments due to the high tidal waves.   The villagers are seeking prompt action from the authority and in this situation, they demanded its immediate mending. Contacted, Md Nahiduzzaman Khan, executive engineer of Bagerhat Water Development Board, said, ""We are preparing to install ring dams where the embankment was harmed,""  The upazila administration has already been directed to assess the losses following Amphan and it will soon be notified, said Bagerhat District Administrator Mamunur Rashid."
204,"BANGLADESH GETS PLEDGE OF MILLIONS FOR FLOOD RELIEF
1988-09-07T05:00:00.000Z
Donor nations have pledged millions of dollars in aid to Bangladesh, where the worst flooding in 70 years has left much of the country under water and as many as 28 million people homeless or stranded.
After an urgent international appeal for aid by the President of Bangladesh, Lieut. Gen. H.M. Ershad, the United States has initially pledged nearly $3.6 million in food, transportation and other emergency aid, the State Department spokesman, Charles E. Redman, said today.
''We continue to be in touch with Bangladesh authorities to see what other assistance we might be able to provide,'' he said. Japan Pledges $13 Million
Japan, which has now surpassed the United States as the world's largest foreign aid donor, has pledged $13 million in food and money for the lease of two helicopters and medical equipment. A Japanese medical team has already arrived in Bangladesh, the Bangladesh Embassy in Washington said.
The flooding, brought on by brutal monsoon rains that began in June, has brought even more misery to one of the world's poorest countries and, with 110 million people in a land the size of Wisconsin, one of its most densely populated.
The most common estimate of the amount of land still under water is 75 percent, the figure used by the State Department and the Bangladesh Embassy here. CARE, which is represented in 80 percent of the country's 65 districts, said 75 to 90 percent of the county was under water. A Village in Trouble
One flooded village is Nichkasia, south of the capital, Dhaka, where no relief had been distributed by today and more than 8,000 people were forced to take shelter on a river embankment. A helicopter trip to the area showed water stretching as far as the eye could see, interrupted by treetops and tin roofs, some packed with victims of the flooding. [ Page A8. ] So far, relief officials have been unable to get to most flooded areas, and communications between the capital and outlying regions are spotty at best. The devastation will take weeks to assess. Most relief officials agree that only as the water levels decline will the problems in aiding a homeless population exposed to waterborne disease become evident.
''Bangladesh is one vast swamp and what you're confronted with is rebuilding a country,'' said Thomas Drahman, the Asia regional manager for CARE. ''I hate to sound hyperbolic, but this could be one of the largest natural disasters of the century.'' Casualty Figures Uncertain
There is no reliable estimate of what it will cost to feed, house and provide medical care to the population and rebuild roads, buildings and bridges, but $4.5 billion was the total estimate of damage for the flood last year, which was not nearly as severe.
Information is so unreliable that it has been impossible to estimate casualty figures. The official death count of more than 400, from drowning, house collapse and snake bites, is widely regarded as far too low.
Because so little is known about the condition of the country, some donors like the United States have been reluctant to pour in large amounts of money and aid until they can consult with relief officials on the most crucial needs.
According to the Agency for International Development, Australia has pledged $241,000, Pakistan $568,000, Britain $927,000 and various United Nations agencies $115,000.
Canada has pledged about $4 million for food aid and Denmark $275,000, according to the Bangladesh Embassy, which added that India and Saudi Arabia have each lent four helicopters and Kuwait has offered to send four jumbo jets filled with relief materials once the Dhaka airport fully reopens.
Why Japan has made such a generous initial pledge was unclear and embassy officials in Washington could not confirm the $13 million figure. But in recent months, Japan has emerged as a champion of the developing nations of Asia, by such actions as initiating its own plan for debtor nations at the Toronto summit meeting and sending money as well as personnel to United Nations peacekeeping operations in Iran and Afghanistan. Immediate Needs Listed
''Our immediate requirement is ready-to-eat high-protein dry food because people have no cooking oil, kerosene or firewood and cannot cook,'' said Tajul Islam, press attache at the Bangladesh Embassy. ''We also urgently need water purification tablets, medicine for the prevention of diarrhea and anti-snake venom.''
After that, officials in Bangladesh estimate, the country will need three million extra tons of food grains to make up for the lost harvests until January.
Although no deaths by starvation have been reported, private relief agency officials fear that a sizable percentage of the country's 110 million people will suffer malnutrition and even starvation because of the flood, as well as life-threatening waterborne diseases such as cholera.
Finally, the country will need construction materials for an unparalleled reconstruction effort, including homes, buildings, roads and bridges. Even Worse Conditions Feared
''It's a major disaster,'' said Rene Bafalis, a spokeswoman for A.I.D.'s Office of United States Foreign Disaster Assistance, which is coordinating United States Government aid efforts. ''We expect it to get worse before it gets better.''
Overall flood conditions in the country showed some signs of improvement today, Mr. Redman said, as water levels in two major northern river basins and in Dhaka showed declines. But he said that a number of tributaries feeding into major basins have risen in the last 24 hours, ''indicating that the situation could change rapidly.''
In addition, ''fuel and essential goods may become increasingly scarce,'' Mr. Redman said.
The nearly $3.6 million pledged in aid by the United States includes 10,000 tons of food valued at $2.5 million, more than 2,000 tons of corn and wheat seed valued at up to $1 million, $50,000 to CARE, $40,000 to Save the Children for food and water purification tablets and $25,000 to be used at the discretion of the United States Ambassador, Willard A. De Pree.
A.I.D. is also preparing to send disaster management experts to Dhaka to advise on further ways the United States can help the relief effort."
236,"Date Published:2020-04-15 00:00:00      
With this, Rangpur reported three Covid-19 cases so far A Malaysia returnee in Rangpur's Badargonj upazila has tested positive for coronavirus (Covid-19), making him the first such case in the upazila. Badargonj Upazila Nirbahi Officer (UNO) Nabirul Islam confirmed the matter to Dhaka Tribune around 8: 30pm on Wednesday. The 30-year old man, who returned from Malaysia to the upazila recently, went to Narayanganj where he stayed for one month. Few days ago, he came back from Narayanganj and started suffering from fever, cough, and respiratory problems, prompting health authorities to collect samples. They were later sent to Rangpur Medical College Hospital for testing.  On Wednesday, his reports came back positive, said UNO Nabirul Islam. The UNO also added that 10 houses around the patient's residence and a residential quarter of Badargonj Upazila Health Complex, where his brother lives, were put under lockdown. With this, Rangpur reported three Covid-19 cases so far, according to health authorities. "
243,"Death Toll in India After Heavy Floods Is Reported at 1,000
1988-10-03T05:00:00.000Z
The death toll from floods that have submerged many areas in India's northwest was nearing 1,000 today, according to reports from the region. Hundreds of thousands of residents in four states have been evacuated to higher ground.
Most severely affected in more than a week of flooding has been Punjab State, where many acres of farmland have been inundated. A state government spokesman in Chandigarh said Saturday that at least 400 people had died in the state in nearly 9,000 affected villages and towns.
Local news organizations put the number of deaths in Punjab at about 600, with some areas still cut off and unable to report casualties. The districts of Ferozepore, Jullundur and Amritsar were among those hardest hit. Food Stocks Are Gone
Tens of thousands of farm animals have perished. Food stocks have been destroyed, prompting the Government to begin dropping relief supplies by air. [ A boat evacuating people from floodwaters in Pakistan's Punjab Province capsized and 35 people aboard were feared drowned, Reuters reported. It quoted the state-run Radio Pakistan as saying seven bodies had been recovered after the incident near Faisalabad. ] The states of Himachal Pradesh, Haryana and Jammu and Kashmir have reported hundreds more casualties as rivers swollen by record monsoon rains have poured into the fertile plains and valleys of the northwest. In Rajasthan, officials said they were on the alert for rising water in rivers and canals that pass through Punjab. Flooding Near the Capital
The Jumna River, which runs along the eastern edge of the capital, has also overflowed, disrupting the lives of many poor Indians who erect makeshift homes on its wide banks. But apart from the flooding of some city roads, the functioning of the capital has not been badly affected.
Today, flood waters were reported to be receding in Haryana and Himachal Pradesh. But the rivers are still high in Punjab, a politically sensitive state where four years of violence has already damaged the economy.
This weekend, Prime Minister Rajiv Gandhi named a Cabinet committee to open talks with the legal political opposition in the state, which Mr. Gandhi visited on Sept. 21. The talks, announced before the floods, are intended to consider solutions for the state's political and economic deterioration.
Violence, which has claimed at least 2,000 lives this year, began with a call for a separate homeland by Sikh militants, followed by an armed response by New Delhi. Terrorism is now no longer confined to the Sikh dispute, but has spread into general lawlessness, Punjabis say. Robberies and attacks occur daily.
Deforestation in the Himalayas and their foothills is easing the rush of water into India's northern states, experts say. The barren, eroded hills along the mountainous roof of India and nearby Nepal are also thought to have contributed to recent heavy flooding in northeastern India and in Bangladesh, where several large river systems enter the Bay of Bengal. Cooperation With Bangladesh
Bangladesh has been seeking international support in studying the river systems and making recommendations for joint projects to control the waters. Bangladesh's President, Lieut. Gen. H. M. Ershad, visited India on Thursday to raise his concerns with Prime Minister Gandhi.
The Indians told General Ershad that New Delhi wanted to keep the discussions confined to an Indian-Bangladesh commission, and not involve other nations at this point. India, where politicians are sensitive to what they see as infringements on national sovereignty, has long resisted the ''internationalization'' of the rivers issue.
India has proposed building a canal across Bangladeshi territory to link the Brahmaputra and Ganges systems to drain water from the former into the latter.
In Bangladesh, where the idea of an ''Indian'' canal has never been popular, a sense of desperation is growing, spurred by this year's devastating floods. The floods submerged nearly three-quarters of the country and left millions homeless.
General Ershad plans to go ahead with his plans to visit Nepal, Bhutan and China to discuss possible projects for managing the Himalayan rivers.
He is scheduled to go to Katmandu on Monday, less than a week after Indian officials made it clear that they did not want to involve Nepal in talks."
244,"U.S. Agency Urges More Aid for Bangladesh Now
1988-09-22T05:00:00.000Z
The Agency for International Development has urged President Reagan to send additional relief assistance immediately to Bangladesh, where floods that affected three-fourths of the country have claimed at least 1,000 lives, according to a report by the agency.
The report, which was requested by the President and presented this week to White House officials by Jay F. Morris, the A.I.D. deputy administrator, concludes that the United States should immediately provide an additional $20 million in 80,000 tons of food aid, between $1 million and $2 million in urgently needed medical supplies, oral rehydration salts and water purification tablets as well as other disaster and surveillance assistance.
The report also recommends that the aid agency develop a plan with other countries to rehabilitate Bangladesh and address the long-term causes of flooding in the region.
''It is a disaster of historic proportions, mind-numbing,'' said Mr. Morris, who returned last week from a six-day tour of the flood-ravaged country. ''I don't really know how to describe it except to say that it's certainly the largest flood I could ever imagine.'' During his visit, Mr. Morris met with officials, relief workers and flood victims and delivered a letter from President Reagan to President H. M. Ershad expressing concern and a promise ''to do what we can to help.''
As part of its relief effort, the United States has already speeded up the availability of about $150 million in aid to Bangladesh, including food aid, disaster relief supplies and local currency earnings.
The report stressed that the full effect of the flood and the ultimate needs of the people of Bangladesh will become known only over the next few months. It predicted the possibility of ''significant loss of life and degradation of human welfare over the next three to six months.''
Officials in Bangladesh say millions of people in the capital, Dhaka, have been exposed to disease by drinking contaminated water. #25 Million Homeless The flood has so far claimed 1,000 lives, according to official figures, but unofficial estimates put the dead at 2,000 or more. The Bangladeshi Government says that a fourth of the deaths were caused by diarrhea, and that the others were caused by drowning, building collapses and snake bites.
According to the A.I.D. report, 25 million people lost their homes in the flood, which inundated five million acres of rice land and damaged 43,000 miles of roads."
268,"Date Published:2019-10-04 00:00:00      
The local administration said 500 flood-affected families in Lalpur union received 15kg rice each as relief Water levels of the Padma River continue to rise in Natore, Faridpur, and Rajbari, causing damage to croplands and ferry services to shut down. In Natore, around 1,700 families in five unions of Lalpur upazila have become waterlogged as the Padma River continues to swell as a result of the opening of Farakka Barrage gates. Farmers in the affected areas are counting losses as their sugarcane fields and crop lands were inundated, causing immense sufferings to the residents of the areas. Upazila Nirbahi Officer (UNO) Ummul Banin Duti said: ""Three shelter homes were opened and the flood victims were asked to move there."" The local administration said 500 flood-affected families in Lalpur union received 15kg rice each as relief. Assistant Engineer of Natore Water Development Board Al Asad said: ""The water level of Padma will continue to rise till Saturday."" The flood situation in the upazila has been worsening for the last several days following a rise of the Padma water level. In Rajbari, water level of the Padma River was recorded at 12cm above the danger point at Goaland point in the district, and the water continually rose for the past 7 days.  As a result, three out of six ferry ghats in Daulatdia have been shut down due to strong currents in the river, said the Launch Ghat Supervisor Md Mofazzal. In Faridpur, the Padma has been continually rising since the past two days and remained above the danger mark yesterday. Faridpur Water Development Board (WDB) Executive Engineer Sultan Mahmud said: ""The water level in the Padma River here increased by 6cm and is flowing at 13cm above the danger point on Thursday."" Due the current conditions, low-lying areas of the district were completely inundated causing severe distress to locals. Water somewhat receding in Pabna, Tangail  In Pabna, the Padma is flowing 14.33cm above the danger level at Pakshey Hardinge Bridge point as the water level has risen only by 0.8cm in last 24 hours, according to the hydrology department of WDB. Meanwhile, the district administration began distributing relief items to  the affected waterlogged flood victims since Wednesday. In Tangail, the water level of the rivers in the district are starting to recede. Even though the Daleshwari fell by 2cm, it was still flowing 20cm above the danger mark.  On the other hand, the Jamuna was flowing 51cm under the danger mark, and the Jhenai River was flowing 71cm under the danger mark, said WDB Deputy Assistant Engineer of science department Rezaul Karim.    Our correspondents M Kamal Mridha, Natore; Kazi Tanvir Mahmud, Rajbari; Wali Newaz, Faridpur; Abdullah Al Numan, Tangail, and Emroz Khandakar, Pabna contributed to this report "
272,"Studies Seek Flood Control In Bangladesh
1989-07-06T05:00:00.000Z
As monsoon rains begin to fall again on Bangladesh, the World Bank is mobilizing an international force of scientists and aid officials to draft a comprehensive, long-term plan to save this vulnerable nation from perennial catastrophe.
With the height of the flood season still a few weeks away, 58 villages were destroyed in late June by rising water and erosion of banks along six rivers. At least 9,000 families lost their homes, the Government says.
After record-breaking floods last September, in which three of the world's mightiest rivers inundated two-thirds of Bangladesh and left more than 2,000 people dead and millions homeless, four major flood prevention studies were begun.
In the last few weeks, all four reports - by the United States, France, Japan and the United Nations Development Program - were completed and turned over to the Government of President H. M. Ershad, diplomats and officials of international agencies said in interviews. Consideration at Summit
Some proposals are so sweeping as to envisage a multibillion-dollar rebuilding of Bangladesh's river embankments, or the construction of huge dikes or polders to keep away both the rivers and the unpredictable sea.
The reports will now be discussed in international forums, including the group of seven leading industrialized nations at a summit meeting in Paris in mid-July.
At about the same time, the World Bank will convene a meeting in Washington of scientific experts and officials from donor nations, Francis van Gigch, chief of the World Bank's Bangladesh office, said in an interview.
While Bangladesh waits for international action, the Government has been building embankments around low-lying areas of Dhaka to protect the capital and its airport. Last September, the airport was closed for nearly a week during the flood, delaying the arrival of relief supplies. A Fatal Convergence
Diplomats and Bangladeshi officials say that last year's flood, caused by a fatal convergence of rising water in all three major river systems, the Brahmaputra, Ganges and Meghna, dealt a heavy blow to an already fragile development process.
Bangladesh, one of the world's poorest and most densely populated nations, suffered millions of dollars in losses to buildings, roads and other essential structures. Untold numbers of farm animals were lost.
The findings of the four studies are in agreement on several points, but differ in recommending courses of action. All agree, for example, that projects must be confined to Bangladesh, not the larger region.
Nations in South Asia say it is unrealistic to expect that India, which controls substantial river water, can be brought into a regional discussion. New Delhi has said repeatedly that it will discuss the issue only on a one-to-one basis with its neighbors.
In the case of Bangladesh, this has led to a stalemate over an Indian proposal to build a huge canal across Bangladeshi territory to link the Brahmaputra and Ganges Rivers. But the reports on the whole say that better coordination in issuing flood warnings should be possible. Disagreement on Embankments
All reports agree that some annual flooding is not only inevitable but beneficial to the agricultural lands of Bangladesh that feed 110 million people. They say that the damages of these ''normal'' floods could be minimized by better warning systems and emergency services inside the country.
Where the reports diverge, and enter into political territory, is on the question of embankments.
The United Nations Development Program and the French studies advocate the building of more and higher banks along the rivers, a course favored by President Ershad.
The American study - prepared for the United States Agency for International Development by the Irrigation Support Project for Asia and the Near East - questions the value of embankments designed for worst-case floods.
It puts emphasis on more effective utilization of ground water in dry seasons, lowering the aquifers by pumping through tube wells, and on drainage during rainy periods."
281,"Date Published:2019-07-15 00:00:00      
Flooding also forced 3,000 people in the western Rakhine state to relocate, the disaster management department said Days of heavy monsoon rain and dangerously high river levels in Myanmar have forced more than 18,000 people from their homes and flooded at least one camp for people displaced by recent fighting, authorities and a politician said on Monday. Four towns along the Ayeyarwady and Chindwin rivers were in danger of being inundated as the rivers rose, the Department of Disaster Management said. ""We are working together with local authorities helping the people and providing food,"" said the department's director, Phyu Lai Lai Htun. More people were expected to be forced from their homes on Monday, she said. Monsoon flooding in Myanmar forces thousands from their homeshttps://t.co/fLOP3ewyGM pic.twitter.com/PTK5EnfZ4I Heavy downpours hit the tropical Southeast Asian country during the May-October rainy season, often triggering flooding. The northern state of Kachin was the worst affected, with 14,000 people forced from their homes near the banks of the Ayeyarwady river. Media published photographs showing submerged houses, vehicles and roads in Myitkyina, the state's capital. Flooding also forced 3,000 people in the western Rakhine state to relocate, the disaster management department said. They included some of the thousands displaced by fighting between the military and the Arakan Army insurgent group since late last year, according to Tun Aung Kyaw, secretary of the Arakan National Party, who visited a camp for several hundred displaced people near the ancient city of Mrauk-U. ""The whole camp is flooded and people are desperately in need of immediate shelter and food,"" he told Reuters by telephone. Myanmar has restricted access to the conflict zone for most international aid agencies. The UN Office for the Coordination of Humanitarian Affairs said in a Facebook post it was helping the government respond to the flooding, while the Myanmar Red Cross, aid groups and private donors were also aiding the victims. ""We are working closely with authorities and stand ready to support the government's response,"" Knut Ostby, the UN resident and humanitarian coordinator, said on Twitter."
